test_datum;faelle_bs;faelle_bs_kum;faelle_basel;faelle_basel_kum;faelle_riehen;faelle_riehen_kum;faelle_bettingen;faelle_bettingen_kum;inzidenz07_bs;inzidenz14_bs;summe_07_tage_bs;summe_14_tage_bs;mittel_07_tage_bs;mittel_14_tage_bs;inzidenz_basel_07;inzidenz_basel_14;inzidenz_riehen_07;inzidenz_riehen_14;inzidenz_bettingen_07;inzidenz_bettingen_14;weekday_nr;weekday;wochentag
2022-10-27;80;99172;10;81822;2;9514;0;621;304.9787785599919;752.2809871146466;600;1480;85.71428571428571;105.71428571428572;67.86952945710128;152.99402403041475;73.715733701912;124.3953006219765;0.0;85.68980291345329;3;Thursday;Donnerstag
2022-10-26;86;99092;18;81812;1;9512;0;621;331.4102727018578;777.1875873637126;652;1529;93.14285714285714;109.21428571428572;73.62118449583869;160.47117558077338;69.1085003455425;124.3953006219765;0.0;85.68980291345329;2;Wednesday;Mittwoch
2022-10-25;112;99006;22;81794;3;9511;0;621;358.35006480799035;806.6688692911785;705;1587;100.71428571428572;113.35714285714286;78.22250852682859;163.9221686040158;69.1085003455425;133.6097673347155;0.0;85.68980291345329;1;Tuesday;Dienstag
2022-10-24;93;98894;20;81772;5;9508;0;621;399.0139019493226;825.9841919333113;785;1625;112.14285714285714;116.07142857142857;85.12449457331347;163.3470031001421;64.501266989173;133.6097673347155;0.0;85.68980291345329;0;Monday;Montag
2022-10-23;56;98801;8;81752;3;9503;0;621;415.2794368058557;857.4986657178438;817;1687;116.71428571428572;120.5;81.67350155007105;163.9221686040158;55.286800276434015;129.002533978346;85.68980291345329;85.68980291345329;6;Sunday;Sonntag
2022-10-22;85;98745;22;81744;2;9500;0;621;418.32922459145556;863.5982412890436;823;1699;117.57142857142857;121.35714285714286;82.8238325578185;166.22283061951075;41.4651002073255;124.3953006219765;85.68980291345329;85.68980291345329;5;Saturday;Samstag
2022-10-21;88;98660;18;81722;0;9498;0;621;424.4288001626554;867.15632703891;835;1706;119.28571428571428;121.85714285714286;82.8238325578185;159.89601007689959;41.4651002073255;119.788067265607;85.68980291345329;85.68980291345329;4;Friday;Freitag
2022-10-20;132;98572;20;81704;1;9498;0;621;447.30220855465467;885.4550537525098;880;1742;125.71428571428572;124.42857142857143;85.12449457331347;165.0724996117633;50.679566920064495;124.3953006219765;85.68980291345329;85.68980291345329;3;Thursday;Donnerstag
2022-10-19;139;98440;26;81684;1;9497;0;621;445.7773146618548;880.3720741098433;877;1732;125.28571428571428;123.71428571428572;86.84999108493469;167.94832713113198;55.286800276434015;129.002533978346;85.68980291345329;85.68980291345329;2;Wednesday;Mittwoch
2022-10-18;192;98301;34;81658;2;9496;0;621;448.3188044831881;865.1231351818436;882;1702;126.0;121.57142857142857;85.6996600771872;162.1966720923946;64.501266989173;138.217000691085;85.68980291345329;85.68980291345329;1;Tuesday;Dienstag
2022-10-17;125;98109;14;81624;3;9494;1;621;426.97028998398866;822.9344041477115;840;1619;120.0;115.64285714285714;78.22250852682859;148.39269999942485;69.1085003455425;129.002533978346;85.68980291345329;85.68980291345329;0;Monday;Montag
