vacc_day;vollstaendig_geimpft;teilweise_geimpft;mit_mindestens_einer_dosis_geimpft;impfung_aufgefrischt;neu_teilweise_geimpft;neu_vollstaendig_geimpft;neu_impfung_aufgefrischt;anteil_vollstaendig_geimpft_an_wohnbevoelkerung;anteil_teilweise_geimpft_an_wohnbevoelkerung;anteil_impfung_aufgefrischt_an_wohnbevoelkerung;anteil_mit_mindestens_einer_dosis_geimpft;11_erste_dosis_einer_mehrdosisimpfung_grundimmunisierung;12_zweite_dosis_einer_mehrdosisimpfung_grundimmunisierung;101_genesen_mit_erster_dosis_einer_mehrdosisimpfung;29_mindestens_dritte_dosis_einer_mehrdosisimpfung_auffrischimpfung;19_mindestens_dritte_dosis_einer_mehrdosisimpfung_grundimmunisierung;1_impfung_mit_einmaldosis_grundimmunisierung;100_genesen_mit_einmaldosis;22_zweite_dosis_mit_einer_mehrdosisimpfung_auffrischimpfung_einer_impfung_mit_einmaldosis;1_andere;bevoelkerungszahl_statpop;anteil_mit_mindestens_dritter_dosis_geimpft_an_wohnbevoelkerung;anteil_mit_mindestens_zweiter_auffrischimpfung_geimpft_an_wohnbevoelkerung;102_genesen_mit_zweiter_dosis_einer_mehrdosisimpfung_grundimmunisierung;202_genesen_mit_zweiter_dosis_einer_mehrdosisimpfung_auffrischimpfung;39_mindestens_zweite_auffrischimpfung
2022-10-25;144749;2032;146781;105304;1;4;25;73.57562202963376;1.0328614633898392;53.525808829135634;74.60848349302361;139231;137199;6507;104566;1845;981;62;714;106;196735;53.15068493150685;8.647164968104303;2578;1200;17012
2022-10-22;144745;2031;146776;105254;0;0;5;73.57358883777671;1.0323531654255724;53.50039393092231;74.60594200320227;139230;137199;6504;104517;1832;980;62;713;106;196735;53.12577833125778;7.849137164205658;2575;1199;15442
2022-10-20;144743;2032;146775;105207;1;0;38;73.57257224184816;1.0328614633898392;53.47650392660177;74.60543370523801;139230;137198;6504;104470;1817;979;62;713;106;196735;53.10188832693725;7.383536228937403;2575;1198;14526
2022-10-19;144743;2031;146774;105169;4;10;49;73.57257224184816;1.0323531654255724;53.45718860395964;74.60492540727375;139229;137198;6504;104432;1799;979;62;713;106;196735;53.08257300429512;6.86913868909955;2575;1198;13514
2022-10-14;144732;2033;146765;105065;0;0;39;73.56698096424124;1.0333697613541057;53.40432561567591;74.60035072559535;139222;137189;6502;104328;1777;979;62;713;105;196735;53.029710016011386;5.650748468752383;2572;1198;11117
2022-10-10;144727;2026;146753;104949;0;0;22;73.56443947441991;1.0298116756042393;53.34536305182098;74.59425115002415;139213;137187;6499;104213;1751;979;62;712;105;196735;52.97125575012072;4.105014359417491;2571;1196;8076
2022-10-09;144727;2026;146753;104927;0;0;0;73.56443947441991;1.0298116756042393;53.33418049660711;74.59425115002415;139213;137187;6499;104191;1750;979;62;712;105;196735;52.960073194906855;3.7446311027524333;2571;1196;7367
2022-10-07;144725;2028;146753;104927;0;0;2;73.56342287849137;1.0308282715327723;53.33418049660711;74.59425115002415;139213;137185;6499;104191;1750;979;62;712;105;196735;52.960073194906855;3.7446311027524333;2571;1196;7367
2022-10-04;144722;2029;146751;104905;0;1;0;73.56189798459857;1.0313365694970391;53.32299794139325;74.59323455409562;139211;137182;6499;104170;1747;979;62;711;105;196735;52.94939893765726;3.712608331003634;2569;1196;7304
2022-10-03;144721;2029;146750;104905;0;0;0;73.5613896866343;1.0313365694970391;53.32299794139325;74.59272625613134;139211;137182;6499;104170;1747;978;62;711;103;196735;52.94939893765726;3.712608331003634;2569;1196;7304
