day,status,count,first_day,date
0 days,Kein Schutz,196731,2020-02-27,2020-02-27
0 days,Schutz gegen Infektion,4,2020-02-27,2020-02-27
1 days,Kein Schutz,196731,2020-02-27,2020-02-28
1 days,Schutz gegen Infektion,4,2020-02-27,2020-02-28
2 days,Kein Schutz,196731,2020-02-27,2020-02-29
2 days,Schutz gegen Infektion,4,2020-02-27,2020-02-29
3 days,Kein Schutz,196731,2020-02-27,2020-03-01
3 days,Schutz gegen Infektion,4,2020-02-27,2020-03-01
4 days,Kein Schutz,196727,2020-02-27,2020-03-02
4 days,Schutz gegen Infektion,8,2020-02-27,2020-03-02
5 days,Kein Schutz,196723,2020-02-27,2020-03-03
5 days,Schutz gegen Infektion,12,2020-02-27,2020-03-03
6 days,Kein Schutz,196707,2020-02-27,2020-03-04
6 days,Schutz gegen Infektion,28,2020-02-27,2020-03-04
7 days,Kein Schutz,196687,2020-02-27,2020-03-05
7 days,Schutz gegen Infektion,48,2020-02-27,2020-03-05
8 days,Kein Schutz,196667,2020-02-27,2020-03-06
8 days,Schutz gegen Infektion,68,2020-02-27,2020-03-06
9 days,Kein Schutz,196655,2020-02-27,2020-03-07
9 days,Schutz gegen Infektion,80,2020-02-27,2020-03-07
10 days,Kein Schutz,196635,2020-02-27,2020-03-08
10 days,Schutz gegen Infektion,100,2020-02-27,2020-03-08
11 days,Kein Schutz,196595,2020-02-27,2020-03-09
11 days,Schutz gegen Infektion,140,2020-02-27,2020-03-09
12 days,Kein Schutz,196571,2020-02-27,2020-03-10
12 days,Schutz gegen Infektion,164,2020-02-27,2020-03-10
13 days,Kein Schutz,196483,2020-02-27,2020-03-11
13 days,Schutz gegen Infektion,252,2020-02-27,2020-03-11
14 days,Kein Schutz,196387,2020-02-27,2020-03-12
14 days,Schutz gegen Infektion,348,2020-02-27,2020-03-12
15 days,Kein Schutz,196339,2020-02-27,2020-03-13
15 days,Schutz gegen Infektion,396,2020-02-27,2020-03-13
16 days,Kein Schutz,196243,2020-02-27,2020-03-14
16 days,Schutz gegen Infektion,492,2020-02-27,2020-03-14
17 days,Kein Schutz,196187,2020-02-27,2020-03-15
17 days,Schutz gegen Infektion,548,2020-02-27,2020-03-15
18 days,Kein Schutz,196111,2020-02-27,2020-03-16
18 days,Schutz gegen Infektion,624,2020-02-27,2020-03-16
19 days,Kein Schutz,196027,2020-02-27,2020-03-17
19 days,Schutz gegen Infektion,708,2020-02-27,2020-03-17
20 days,Kein Schutz,195831,2020-02-27,2020-03-18
20 days,Schutz gegen Infektion,904,2020-02-27,2020-03-18
21 days,Kein Schutz,195695,2020-02-27,2020-03-19
21 days,Schutz gegen Infektion,1040,2020-02-27,2020-03-19
